Campaign_ID,Revenue,Profit,Units_Sold,Country
1,150000,80000,1200,USA
2,75000,30000,600,Germany
3,110000,55000,900,UK
4,200000,100000,1800,USA
5,95000,40000,750,Canada
6,170000,85000,1400,France
7,130000,60000,1000,USA
8,115000,50000,850,UK
9,98000,45000,700,Germany
10,145000,70000,1100,Canada
11,175000,90000,1500,France
12,190000,95000,1600,USA
13,140000,60000,1000,Germany
14,165000,85000,1350,UK
15,120000,55000,900,France
16,155000,75000,1200,Canada
17,180000,95000,1600,USA
18,135000,60000,1050,Germany
19,170000,85000,1400,UK
20,195000,100000,1800,France
21,125000,55000,950,Canada
22,150000,75000,1200,USA
23,190000,95000,1600,Germany
24,175000,85000,1450,UK
25,145000,65000,1100,France
26,165000,80000,1300,USA
27,115000,50000,850,Canada
28,185000,90000,1500,Germany
29,135000,60000,1000,France
30,155000,70000,1200,UK
31,170000,85000,1350,USA
32,180000,90000,1550,Canada
33,190000,100000,1650,Germany
34,160000,75000,1250,France
35,145000,70000,1100,USA
36,175000,85000,1450,UK
37,125000,60000,950,Germany
38,150000,75000,1200,Canada
39,140000,65000,1050,France
40,165000,80000,1300,USA
41,190000,100000,1650,Germany
42,175000,90000,1500,UK
43,155000,70000,1200,France
44,135000,60000,1000,Canada
45,150000,70000,1150,USA
46,180000,90000,1550,Germany
47,160000,80000,1250,UK
48,190000,100000,1650,France
49,175000,85000,1450,USA
50,155000,75000,1200,Canada
